site_id,transect_id,Distance from edge (m),core_section,root_type,bag_weight_g,wet_weight_g,dry_weight_g,dry_roots_weight_g,g_m2
MAC,1,10,B(10-20),ALIVE,2.5139,17.579,4.3429,1.829,
MAC,1,10,B(10-20),DEAD,6.06,73.29,11.45,5.39,
MAC,1,10,C(20-30),ALIVE,2.5383,6.2792,2.8963,0.358,
MAC,1,10,C(20-30),DEAD,2.5841,35.72,5.8631,3.279,
MAC,1,20,A(0-10),ALIVE,2.564,13.583,3.7152,1.1512,
MAC,1,20,A(0-10),DEAD,6.03,85.94,11.21,5.18,
MAC,1,20,B(10-20),ALIVE,2.6112,6.7464,3.2002,0.589,
MAC,1,20,B(10-20),DEAD,6.01,79.43,11.62,5.61,
MAC,1,20,C(20-30),ALIVE,2.5623,4.8076,2.702,0.1397,
MAC,1,20,C(20-30),DEAD,6.18,92.7,13.26,7.08,
MAC,1,40,A(0-10),ALIVE,2.5361,4.9557,2.6766,0.1405,
MAC,1,40,A(0-10),DEAD,6.03,74.53,9.76,3.73,
MAC,1,40,B(10-20),ALIVE,2.5276,9.9923,3.1443,0.6167,
MAC,1,40,B(10-20),DEAD,6.17,76.44,12.77,6.6,
MAC,1,40,C(20-30),ALIVE,2.5564,5.46,2.7295,0.1731,
MAC,1,40,C(20-30),DEAD,6.03,41.99,10.63,4.6,
MAC,2,-2,A(0-10),ALIVE,0,0,0,0,
MAC,2,-2,A(0-10),DEAD,2.5799,4.4077,2.723,0.1431,
MAC,2,-2,B(10-20),ALIVE,0,0,0,0,
MAC,2,-2,B(10-20),DEAD,2.51,5.35,2.8065,0.2965,
MAC,2,-2,C(20-30),ALIVE,0,0,0,0,
MAC,2,-2,C(20-30),DEAD,2.5819,6.4527,2.9605,0.3786,
MAC,2,-1,A(0-10),ALIVE,0,0,0,0,
MAC,2,-1,A(0-10),DEAD,2.6081,8.4713,3.1705,0.5624,
MAC,2,-1,B(10-20),ALIVE,0,0,0,0,
MAC,2,-1,B(10-20),DEAD,2.5793,14.5387,3.801,1.2217,
MAC,2,-1,C(20-30),ALIVE,0,0,0,0,
MAC,2,-1,C(20-30),DEAD,6.12,24.13,7.88,1.76,
MAC,2,0,A(0-10),ALIVE,2.5519,9.717,3.1858,0.6339,
MAC,2,0,A(0-10),DEAD,6.04,41.27,7.88,1.84,
MAC,2,0,B(10-20),ALIVE,2.5,5.4,2.6219,0.1219,
MAC,2,0,B(10-20),DEAD,6.02,33.7,9.25,3.23,
MAC,2,0,C(20-30),ALIVE,0,0,0,0,
MAC,2,0,C(20-30),DEAD,0,0,0,0,
MAC,2,1,A(0-10),ALIVE,2.5366,8.326,3.2349,0.6983,
MAC,2,1,A(0-10),DEAD,6.04,35.43,8.63,2.59,
MAC,2,1,B(10-20),ALIVE,2.552,11.36,3.863,1.311,
MAC,2,1,B(10-20),DEAD,6.02,18.64,6.94,0.92,
MAC,2,1,C(20-30),ALIVE,2.51,3.184,2.5462,0.0362,
MAC,2,1,C(20-30),DEAD,6.22,14.16,6.5,0.28,
MAC,2,2,A(0-10),ALIVE,2.5698,9.375,3.533,0.9632,
MAC,2,2,A(0-10),DEAD,6.04,84.07,14.42,8.38,
MAC,2,2,B(10-20),ALIVE,2.56,6.01,2.7905,0.2305,
MAC,2,2,B(10-20),DEAD,5.98,63.7,16.31,10.33,
MAC,2,2,C(20-30),ALIVE,0,0,0,0,
MAC,2,2,C(20-30),DEAD,6.33,47.47,9.89,3.56,
MAC,2,5,A(0-10),ALIVE,2.5979,2.6595,2.6123,0.0144,
MAC,2,5,A(0-10),DEAD,6.1,22.27,7.61,1.51,
MAC,2,5,B(10-20),ALIVE,2.555,2.7959,2.7002,0.1452,
MAC,2,5,B(10-20),DEAD,6.03,79.52,13.11,7.08,
MAC,2,5,C(20-30),ALIVE,2.501,5.0111,2.7399,0.2389,
MAC,2,5,C(20-30),DEAD,6.05,35.57,7.71,1.66,
MAC,2,10,A(0-10),ALIVE,2.521,5.2009,2.6819,0.1609,
MAC,2,10,A(0-10),DEAD,6.07,44.96,12.09,6.02,
MAC,2,10,B(10-20),ALIVE,2.565,6.06,2.8337,0.2687,
MAC,2,10,B(10-20),DEAD,6.01,40.43,10.36,4.35,
MAC,2,10,C(20-30),ALIVE,2.6269,9.83,3.5242,0.8973,
MAC,2,10,C(20-30),DEAD,6.06,21.01,8.82,2.76,
MAC,2,20,A(0-10),ALIVE,2.618,18.21,4.714,2.096,
MAC,2,20,A(0-10),DEAD,6.06,52.22,12.66,6.6,
MAC,2,20,B(10-20),ALIVE,2.551,13.94,3.9348,1.3838,
MAC,2,20,B(10-20),DEAD,6.04,56.83,9.54,3.5,
MAC,2,20,C(20-30),ALIVE,2.551,3.125,2.6233,0.0723,
MAC,2,20,C(20-30),DEAD,6.02,39.78,8.88,2.86,
MAC,2,40,A(0-10),ALIVE,6.01,29.75,10.31,4.3,
MAC,2,40,A(0-10),DEAD,2.581,18.4795,4.0923,1.5113,
MAC,2,40,B(10-20),ALIVE,2.554,4.5932,2.8655,0.3115,
MAC,2,40,B(10-20),DEAD,6.03,85.26,14.16,8.13,
MAC,2,40,C(20-30),ALIVE,2.5505,4.299,3.2103,0.6598,
MAC,2,40,C(20-30),DEAD,5.97,35.33,9.72,3.75,
MAC,3,-2,A(0-10),ALIVE,0,0,0,0,
MAC,3,-2,A(0-10),DEAD,6.04,18.7,7.2,1.16,
MAC,3,-2,B(10-20),ALIVE,0,0,0,0,
MAC,3,-2,B(10-20),DEAD,6.04,46.99,8.92,2.88,
MAC,3,-2,C(20-30),ALIVE,0,0,0,0,
MAC,3,-2,C(20-30),DEAD,6.03,30.87,8.38,2.35,
MAC,3,-1,A(0-10),ALIVE,0,0,0,0,
MAC,3,-1,A(0-10),DEAD,6.05,25.03,7.53,1.48,
MAC,3,-1,B(10-20),ALIVE,0,0,0,0,
MAC,3,-1,B(10-20),DEAD,5.99,46.55,9.2,3.21,
MAC,3,-1,C(20-30),ALIVE,2.539,2.708,2.5567,0.0177,
MAC,3,-1,C(20-30),DEAD,6.01,8.78,6.19,0.18,
MAC,3,0,A(0-10),ALIVE,2.5352,16.2088,3.7073,1.1721,
MAC,3,0,A(0-10),DEAD,6.07,43.06,10.7,4.63,
MAC,3,0,B(10-20),ALIVE,2.526,3.0592,2.5853,0.0593,
MAC,3,0,B(10-20),DEAD,6.11,16.93,6.93,0.82,
MAC,3,0,C(20-30),ALIVE,2.568,2.69,2.5749,0.0069,
MAC,3,0,C(20-30),DEAD,6.71,9.79,6.26,0,
MAC,3,1,A(0-10),ALIVE,2.6189,8.2807,3.0578,0.4389,
MAC,3,1,A(0-10),DEAD,6.1,70.81,12.93,6.83,
MAC,3,1,B(10-20),ALIVE,2.5983,3.0063,2.6011,0.0028,
MAC,3,1,B(10-20),DEAD,6.07,58.77,11.01,4.94,
MAC,3,1,C(20-30),ALIVE,0,0,0,0,
MAC,3,1,C(20-30),DEAD,6.06,67.31,9.78,3.72,
MAC,3,2,A(0-10),ALIVE,2.5547,4.0338,2.6724,0.1177,
MAC,3,2,A(0-10),DEAD,6.09,126.31,17.98,11.89,
MAC,3,2,B(10-20),ALIVE,2.5899,2.8877,2.5989,0.009,
MAC,3,2,B(10-20),DEAD,6.08,62.82,12,5.92,
MAC,3,2,C(20-30),ALIVE,2.5594,2.7626,2.5373,0,
MAC,3,2,C(20-30),DEAD,6.05,47.93,10.4,4.35,
MAC,3,5,A(0-10),ALIVE,2.516,5.6102,3.1407,0.6247,
MAC,3,5,A(0-10),DEAD,6.05,32.65,10.09,4.04,
MAC,3,5,B(10-20),ALIVE,2.539,4.7095,2.8238,0.2848,
MAC,3,5,B(10-20),DEAD,6.06,42.24,10.35,4.29,
MAC,3,5,C(20-30),ALIVE,2.567,4.28,2.697,0.13,
MAC,3,5,C(20-30),DEAD,6.11,48.23,12.25,6.14,
MAC,3,10,A(0-10),ALIVE,6.13,35.76,9.95,3.82,
MAC,3,10,A(0-10),DEAD,6.05,79.68,15.5,9.45,
MAC,3,10,B(10-20),ALIVE,6.04,22.26,8.16,2.12,
MAC,3,10,B(10-20),DEAD,6.03,98.88,12.44,6.41,
MAC,3,10,C(20-30),ALIVE,2.5395,4.5318,2.6642,0.1247,
MAC,3,10,C(20-30),DEAD,6.03,38.65,9.25,3.22,
MAC,3,20,A(0-10),ALIVE,2.5635,16.3356,4.3324,1.7689,
MAC,3,20,A(0-10),DEAD,6.11,117.7,17.88,11.77,
MAC,3,20,B(10-20),ALIVE,2.536,6.3889,2.8614,0.3254,
MAC,3,20,B(10-20),DEAD,6.01,87.88,15.14,9.13,
MAC,3,20,C(20-30),ALIVE,2.5229,4.4722,2.6398,0.1169,
MAC,3,20,C(20-30),DEAD,6.04,68.83,14.77,8.73,
MAC,3,40,A(0-10),ALIVE,2.5231,11.8186,3.5833,1.0602,
MAC,3,40,A(0-10),DEAD,6.06,83.6,13.8,7.74,
MAC,3,40,B(10-20),ALIVE,2.5399,7.6867,2.9201,0.3802,
MAC,3,40,B(10-20),DEAD,6.09,100.41,18.13,12.04,
MAC,3,40,C(20-30),ALIVE,2.543,3.3336,2.555,0.012,
MAC,3,40,C(20-30),DEAD,6.05,41.8,11.64,5.59,
